ID,Created,Name,Description,Playlist URL
89e1c13b053a43eebd03a5ef6d056367,2024-11-14T20:53:54Z,Perfect Pop Songs,Songs that are 3 minutes or under. ,https://open.spotify.com/playlist/2zUGklO7hiNKJkCCo0i91Z
c81299f91e0941a0b255021fee5cbf7f,2024-11-14T20:54:28Z,Better Than The Original,Cover songs that are better than the original version.,https://open.spotify.com/playlist/1LRelEDXkhYA3qzWUp4mhT
18bc71e0230940adb756834e05b5e27b,2024-11-14T20:55:52Z,Magic Numbers,Songs with a number in the title.,https://open.spotify.com/playlist/2d0o0djdrkYSOg3MGCG7wU
cf640582a5a243cc83207e0feb6700eb,2024-11-14T20:56:18Z,A Word is Enough,Songs with a one word title.,https://open.spotify.com/playlist/1y6REmGLRMyqwNm1qYH1mD
4b28fdf441614db698c0bb6fbe1cf548,2024-11-14T21:03:26Z,One Hit Wonders,"Too many of you have been moaning to me about this, so I'll change it slightly again. Songs must have been top 5 in the UK and the artist/band must not have another song that has made top 20 in the UK singles chart.",https://open.spotify.com/playlist/6LwHyWFlNGwBDsbAsXZi2E
9f2dd7d2dc584bd0bb2428a36c85ea3a,2024-11-14T20:57:01Z,Santa Claus is Comin' to Town,Christmas songs.,https://open.spotify.com/playlist/4eZb71B5mu28ta1bnX9BBY
ca23c904c8584df3886218a1eaf5fd54,2024-11-14T20:58:14Z,TV Theme Tunes,The best TV theme songs of all time.,https://open.spotify.com/playlist/5XypjyuOiJCUHaGp3uuqFS
b04baf61e1ca4c3593b8a60eedda7607,2024-11-14T20:58:37Z,At the Movies,Songs that were written/recorded for movie soundtracks,https://open.spotify.com/playlist/6LJz2jl9vKFk6OHEwRKWx4
d796b9c6e7494a1b88d15b0d7e5fea23,2024-11-14T20:59:45Z,The 27 Club,"Songs by artists who died young (this can be anyone of 27 or younger, not just the 27 club) and can include bands including members who died 27 or younger (but obviously only songs that they were involved in).",https://open.spotify.com/playlist/1NOwtLENzvriTjpGbFTJCP
3432166a27374a9b9dd200d84e00c6cc,2024-11-14T21:00:24Z,I'm Blue,Go-to songs when you are feeling down.,https://open.spotify.com/playlist/3brgEkM4W4zs1yRwqq2PX1
d7b27fd8ed79484ca926d7c5344e2e7e,2024-11-14T20:54:50Z,Cheesy 90s Bangers!,Pop hits from the 1990s. The type of 'pop' half of you thought the first round should solely be. Cranks.,https://open.spotify.com/playlist/5lpHtaLJZFE6mp7rKHtRF2
5203e4c3e1a343cba0dc95653418d6ee,2024-11-14T21:03:02Z,Match of the Day,Songs about sport or that are connected to sports events/coverage.,https://open.spotify.com/playlist/2SgGuPoJA646BuA229GmAZ
5f96c18bb6cd421fba230428350a8267,2024-11-14T21:03:50Z,No Words Needed,Instrumental songs.,https://open.spotify.com/playlist/53TuTfL80xQ7viepigm9FY
f794c0e7736048b29eea80d8a2e3474e,2024-11-14T21:05:21Z,Duets,"The best duets of all time (solo artists only, not two bands singing together or one singer guesting with a band).",https://open.spotify.com/playlist/2tXQj2FEpcaj51awLVzFvw
37b382f127d7472ab369dda9cd08d478,2024-11-14T21:06:57Z,Space Quest,Songs about space.,https://open.spotify.com/playlist/5i1Jg8alIE3hdFFegzKjNS
7362f927194342d59549cac96e0bf539,2024-11-14T21:05:39Z,What's Your Jam?,Choose one song that you've recently been obsessed with and one song that is one of your all-time favourites.,https://open.spotify.com/playlist/1WAh5UCA3dhXdOC4Qtq6w4
ace71ef1662544829a64432074144b6a,2024-11-14T21:06:27Z,Double Threat!,Pick one song by a musician turned actor and one song by an actor turned musician.,https://open.spotify.com/playlist/6jwURPIB0etXXSM1iCevFJ
3fa3144b9f404908bd840f6b7a6af0ec,2024-11-14T21:06:47Z,Songs of the Sea,Songs about water.,https://open.spotify.com/playlist/2aCGs1HGe4e1rC4nVEa1bE
3278f99fe4c5461987c1aee406d9643a,2024-11-14T21:07:26Z,Hit the Highway,Songs about driving.,https://open.spotify.com/playlist/0CHqFRmIAjN1N4CaHEojnx
8eb13cff61d84832942fde3b09c93189,2024-11-14T21:08:48Z,This is the End,Break-up songs.,https://open.spotify.com/playlist/6V39UfqNmIxj8UT5EVuwsl
